solexa_100427_HWUSI-EAS1621_0002_61C4W_CHEN,solexa_100427_HWUSI-EAS16.1
solexa_100430_HWUSI-EAS1621_0003_614KA_CHEN-HUEBNER,solexa_100430_HWUSI-EAS16.1
solexa_100503_HWUSI-EAS1620_0004_61C5L_CHEN,solexa_100503_HWUSI-EAS16.1
solexa_100507_HWUSI-EAS1620_0005_61C42_CHEN,solexa_100507_HWUSI-EAS16.1
solexa_100520_HWUSI-EAS1620_0006_61CD6_CHEN,solexa_100520_HWUSI-EAS16.1
solexa_100528_HWUSI-EAS1621_0004_6127G_LANDTHALER,solexa_100528_HWUSI-EAS16.1
solexa_100601_HWUSI-EAS1620_0007_61C6J_CHEN-HUEBNER,solexa_100601_HWUSI-EAS16.1
solexa_100602_HWI-EAS244_0004_61BDV_CHEN-LANDTHALER,solexa_100602_HWI-EAS244_.1
solexa_100607_HWUSI-EAS1621_0014_304C3_RAJEWSKY,solexa_100607_HWUSI-EAS16.1
solexa_100609_HWI-EAS244_0005_61C5R_CHEN,solexa_100609_HWI-EAS244_.1
solexa_100610_HWUSI-EAS1620_0008_61CJG_CHEN,solexa_100610_HWUSI-EAS16.1
solexa_100611_HWI-EAS244_0006_61C5Y_CHEN,solexa_100611_HWI-EAS244_.1
solexa_100614_HWUSI-EAS1620_0009_6145H_CHEN,solexa_100614_HWUSI-EAS16.1
solexa_100615_HWUSI-EAS1621_0004_61BDU_CHEN,solexa_100615_HWUSI-EAS16.1
solexa_100618_HWUSI-EAS1620_00,solexa_100618_HWUSI-EAS16.2
solexa_100618_HWUSI-EAS1620_0010_622JL_RAJEWSKY,solexa_100618_HWUSI-EAS16.1
solexa_100621_HWUSI-EAS1621_0005_622C3_CHEN,solexa_100621_HWUSI-EAS16.1
solexa_100622_HWI-EAS244_0003_4337M_CHEN,solexa_100622_HWI-EAS244_.1
solexa_100625_HWI-EAS244_0004_437YB,solexa_100625_HWI-EAS244_.1
solexa_100628_HWUSI-EAS1620_0007_304BT_JANZ-SELBACH,solexa_100628_HWUSI-EAS16.1
solexa_100705_HWI-EAS244_0007_624H8_CHEN,solexa_100705_HWI-EAS244_.1
solexa_100708_HWUSI-EAS1620_0012_622YR_MIXED,solexa_100708_HWUSI-EAS16.1
solexa_100709_HWUSI-EAS1621_0008_61VWN_HUEBNER,solexa_100709_HWUSI-EAS16.1
solexa_100712_HWUSI-EAS1621_0009_705LF_HUEBNER,solexa_100712_HWUSI-EAS16.1
solexa_100720_HWI-EAS244_0008_624KH_CHEN,solexa_100720_HWI-EAS244_.1
solexa_100722_HWUSI-EAS1620_0013_624KE_CHEN-HUEBNER,solexa_100722_HWUSI-EAS16.1
solexa_100723_HWUSI-EAS1621_0010_624H7_CHEN-HUEBNER,solexa_100723_HWUSI-EAS16.1
solexa_100726_HWI-EAS244_0009_624KV_LANDTHALER-HUEBNER,solexa_100726_HWI-EAS244_.1
solexa_100730_HWUSI-EAS1620_0014_624KR_HUEBNER-MIXED,solexa_100730_HWUSI-EAS16.1
solexa_100802_HWI-EAS244_0010_624GV_MIXED,solexa_100802_HWI-EAS244_.1
solexa_100805_HWUSI-EAS1621_0011_6240N_RAJEWSKY-CHEN,solexa_100805_HWUSI-EAS16.1
solexa_100810_HWI-EAS244_0005_4337C_LANDTHALER,solexa_100810_HWI-EAS244_.1/
solexa_100812_HWUSI-EAS1620_0015_624KP_HUEBNER,solexa_100812_HWUSI-EAS16.1
solexa_100819_HWI-EAS244_0011_624L2_ROSENBAUER,solexa_100819_HWI-EAS244_.1
solexa_100820_HWUSI-EAS1620_0016_HUEBNER,solexa_100820_HWUSI-EAS16.1
solexa_100823_HWI-EAS244_0012_624GTA_MIXED,solexa_100823_HWI-EAS244_.1
solexa_100824_HWUSI-EAS1620_0017_624LJ_CHEN-HUEBNER,solexa_100824_HWUSI-EAS16.1
solexa_100826_HWUSI-EAS1621_0012_624TW_CHEN,solexa_100826_HWUSI-EAS16.1
solexa_100830_HWUSI-EAS1620_0018_624P8_HUEBNER,solexa_100830_HWUSI-EAS16.1
solexa_100914_SN303_0092_A_209P9ABXX_CHEN,solexa_100914_SN303_0092_.1
solexa_100916_HWI-EAS244_0013_624LA_MIXED,solexa_100916_HWI-EAS244_.1
solexa_100916_HWI-EAS244_0013_624LA_MIXED_NODEL,solexa_100916_HWI-EAS244_.2
solexa_100917_SN303_0093_B_205NKABXX_HUEBNER-LANDTHALER,solexa_100917_SN303_0093_.1
solexa_100922_HWUSI-EAS1621_0013_624EJ_HUEBNER-RAPP,solexa_100922_HWUSI-EAS16.1
solexa_100928_HWI-EAS244_0014_624E1_CHEN,solexa_100928_HWI-EAS244_.1
solexa_100929_HWUSI-EAS1621_0014_624J2_WERTH-GREGORY,solexa_100929_HWUSI-EAS16.1
solexa_101001_HWUSI-EAS1621_0015_624E5_RAJEWSKY,solexa_101001_HWUSI-EAS16.1
solexa_101008_HWI-EAS244_0015_62554_LANDTHALER_SELBACH,solexa_101008_HWI-EAS244_.1
solexa_101012_HWUSI-EAS1620_00020_62M3J_HUEBNER,solexa_101012_HWUSI-EAS16.1
solexa_101013_HWI-EAS244_0016_62M3L_MIXED,solexa_101013_HWI-EAS244_.1
solexa_101014_HWUSI-EAS1620_00021_62M3C_HUEBNER-LANDTHALER,solexa_101014_HWUSI-EAS16.1
